Date,AAPL,AGL.JO,FSR.JO,MSFT,MTN.JO,NPN.JO,NVDA,SBK.JO,USDZAR=X
2025-01-08,241.38140869140625,54158.1875,7608.412109375,420.4913024902344,8886.19140625,73003.8828125,140.06410217285156,21978.236328125,18.683300018310547
2025-01-09,,55741.51171875,7510.47119140625,,9043.1416015625,73872.046875,,22041.193359375,18.90591049194336
2025-01-10,235.5631866455078,55853.5546875,7464.4990234375,414.93505859375,9025.1474609375,73054.8828125,135.86549377441406,21758.3828125,18.935609817504883
2025-01-13,233.12649536132812,56243.73046875,7338.5751953125,413.1919250488281,8791.2216796875,71275.171875,133.18637084960938,21568.509765625,19.090150833129883
2025-01-14,232.01258850097656,55730.703125,7353.56591796875,411.6864929199219,9725.92578125,71941.1328125,131.71682739257812,21494.560546875,18.98550033569336
2025-01-15,236.57765197753906,55570.5,7534.45654296875,422.22454833984375,9914.8662109375,73626.0546875,136.1953887939453,22084.166015625,16.498899459838867
2025-01-16,227.01986694335938,55522.34375,7471.4951171875,420.5110778808594,9921.8642578125,73016.484375,133.5262451171875,21801.35546875,18.756999969482422
2025-01-17,228.73049926757812,57459.4765625,7640.392578125,424.91845703125,10301.744140625,73836.4453125,137.66490173339844,22275.03515625,15.43019962310791
2025-01-20,,58160.2265625,7640.392578125,,10402.7119140625,75322.375,,22085.162109375,18.731700897216797
2025-01-21,221.43040466308594,57572.5,7801.2958984375,424.3935546875,10940.5419921875,74228.8203125,140.78387451171875,22179.099609375,18.495670318603516
2025-01-22,222.6139373779297,57463.41015625,7761.3203125,441.9239196777344,11091.494140625,74179.6328125,147.02183532714844,21930.267578125,18.47960090637207
2025-01-23,222.44485473632812,56903.203125,7697.35888671875,442.4290466308594,11187.4638671875,73995.4375,147.17178344726562,21509.548828125,18.493900299072266
2025-01-24,221.5696258544922,57297.3125,7580.42919921875,439.804443359375,11279.4345703125,75190.7734375,142.5732879638672,21509.548828125,18.504539489746094
2025-01-27,228.61117553710938,55025.03515625,7515.46826171875,430.39544677734375,11261.4404296875,76666.1015625,118.38121032714844,21539.529296875,18.479080200195312
2025-01-28,236.96551513671875,54448.1171875,7581.42822265625,442.91436767578125,11300.4287109375,77355.4765625,128.94775390625,21643.4609375,18.741500854492188
2025-01-29,238.05955505371094,53694.30078125,7628.400390625,438.0910339355469,11498.3662109375,78456.21875,123.65947723388672,21897.2890625,18.65959930419922
2025-01-30,236.29916381835938,53443.68359375,7673.373046875,411.01300048828125,11816.265625,78051.4453125,124.60917663574219,21925.271484375,18.518299102783203
2025-01-31,234.71778869628906,54050.078125,7618.40625,411.0823059082031,11495.3671875,78948.3984375,120.03067016601562,21776.37109375,18.56730079650879
2025-02-03,226.77120971679688,53052.51953125,7535.45654296875,406.9820556640625,11496.3662109375,78030.4453125,116.62179565429688,21295.6953125,18.99449920654297
2025-02-04,231.53518676757812,53623.5390625,7515.46826171875,408.4181213378906,11546.3505859375,80127.5390625,118.61112976074219,21782.3671875,18.733409881591797
2025-02-05,231.20697021484375,53098.71484375,7463.49951171875,409.3293151855469,11621.3271484375,80126.5390625,124.78912353515625,21786.36328125,18.65938949584961
2025-02-06,231.95291137695312,55757.23828125,7587.4248046875,411.8350830078125,11560.345703125,80560.515625,128.6378631591797,22084.166015625,18.532800674438477
2025-02-07,226.39329528808594,56056.0078125,7620.4052734375,405.8232116699219,11539.3525390625,81909.2578125,129.79747009277344,22139.126953125,18.43779945373535
2025-02-10,226.66207885742188,56116.9453125,7600.4169921875,408.2695617675781,11430.3876953125,82795.015625,133.5262451171875,21961.24609375,18.525070190429688
2025-02-11,231.61053466796875,54349.83984375,7575.43212890625,407.4970397949219,11705.30078125,82896.0078125,132.75650024414062,21763.37890625,18.419830322265625
2025-02-12,235.84210205078125,55056.48828125,7553.4453125,405.1200256347656,11696.302734375,84412.140625,131.0970458984375,21685.431640625,18.497589111328125
